location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T07:30:00.000Z,2018-04-06T10:30:00+03:00,no2,0.0048,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T06:15:00.000Z,2018-04-06T09:15:00+03:00,so2,0.0011,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T07:15:00.000Z,2018-04-06T10:15:00+03:00,o3,0.056299999999999996,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T08:30:00.000Z,2018-04-06T11:30:00+03:00,so2,0.0025,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T06:30:00.000Z,2018-04-06T09:30:00+03:00,so2,0.0012,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T08:00:00.000Z,2018-04-06T11:00:00+03:00,no2,0.0052,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T09:00:00.000Z,2018-04-06T12:00:00+03:00,so2,0.002,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T07:00:00.000Z,2018-04-06T10:00:00+03:00,o3,0.0514,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T09:15:00.000Z,2018-04-06T12:15:00+03:00,no2,0.0043,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T08:15:00.000Z,2018-04-06T11:15:00+03:00,so2,0.0023,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T08:45:00.000Z,2018-04-06T11:45:00+03:00,o3,0.0665,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T09:30:00.000Z,2018-04-06T12:30:00+03:00,so2,0.0016,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T08:45:00.000Z,2018-04-06T11:45:00+03:00,no2,0.0046,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T10:15:00.000Z,2018-04-06T13:15:00+03:00,so2,0.0016,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T08:30:00.000Z,2018-04-06T11:30:00+03:00,o3,0.06620000000000001,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T09:30:00.000Z,2018-04-06T12:30:00+03:00,no2,0.0037,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T11:45:00.000Z,2018-04-06T14:45:00+03:00,o3,0.0703,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T12:30:00.000Z,2018-04-06T15:30:00+03:00,so2,0.0015,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
תחנה:אום אל קוטוף,תחנות ניידות,IL,2018-04-06T12:45:00.000Z,2018-04-06T15:45:00+03:00,no2,0.0048,ppm,31.987899,34.757384,"[{""name"":""Israel Ministry of Environmental Protection"",""url"":""http://www.svivaaqm.net/""}]"
